DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ex1,1,Mk10,09:28:04 05-Jun-2017,Argos,A,35.6750,-74.5390,10718,93990,1222,133,,,,,,
ex1,1,Mk10,12:32:23 05-Jun-2017,Argos,A,35.9028,-74.5225,16554,185391,1478,59,,,,,,
ex1,1,Mk10,19:15:41 05-Jun-2017,Argos,Z,34.8439,-75.9695,,,,,,,,,,
ex1,1,Mk10,22:44:46 05-Jun-2017,Argos,Z,31.5245,-56.9707,876813,,,,,,,,,
ex1,1,Mk10,00:15:37 06-Jun-2017,Argos,0,35.7940,-74.8496,3629,35082,375,70,,,,,,
ex1,1,Mk10,00:31:12 06-Jun-2017,Argos,B,35.6465,-74.8499,3755,87462,161,82,,,,,,
ex1,1,Mk10,07:38:25 06-Jun-2017,Argos,A,35.4885,-74.6479,31282,,,,,,,,,
ex1,1,Mk10,09:18:43 06-Jun-2017,Argos,0,35.6722,-75.2650,19816,681019,576,92,,,,,,
ex1,1,Mk10,09:58:06 06-Jun-2017,Argos,Z,35.8553,-75.6069,601221,,,,,,,,,
ex1,1,Mk10,22:19:28 06-Jun-2017,Argos,0,35.6669,-74.6472,1668,7017,396,57,,,,,,
ex1,1,Mk10,22:19:46 06-Jun-2017,Argos,0,35.5523,-74.7803,2592,12615,532,48,,,,,,
ex1,1,Mk10,23:20:07 06-Jun-2017,Argos,0,36.6246,-73.2035,162748,,,,,,,,,
ex1,1,Mk10,00:02:46 07-Jun-2017,Argos,0,35.6010,-74.2442,8730,250806,303,77,,,,,,
ex1,1,Mk10,00:02:56 07-Jun-2017,Argos,1,32.4504,-90.0979,564,1799,176,107,,,,,,
ex1,1,Mk10,01:11:44 07-Jun-2017,Argos,A,35.7084,-74.6914,1923,16632,222,5,,,,,,
ex1,1,Mk10,02:47:56 07-Jun-2017,Argos,B,35.7615,-74.6725,40751,,,,,,,,,
ex1,1,Mk10,03:41:25 07-Jun-2017,Argos,0,36.1022,-74.7427,9194,124447,679,68,,,,,,
ex1,1,Mk10,07:24:00 07-Jun-2017,Argos,1,27.8870,-37.5222,1019,3519,295,173,,,,,,
ex1,1,Mk10,09:28:48 07-Jun-2017,Argos,Z,35.4404,-75.9597,49326,,,,,,,,,
ex1,1,Mk10,15:12:55 07-Jun-2017,Argos,1,35.8774,-74.9616,1420,5361,375,121,,,,,,
ex1,1,Mk10,22:12:20 07-Jun-2017,Argos,0,36.0829,-74.8703,4166,44762,387,93,,,,,,
ex1,1,Mk10,01:42:04 08-Jun-2017,Argos,Z,34.9922,-76.1364,,,,,,,,,,
ex1,1,Mk10,02:30:31 08-Jun-2017,Argos,1,32.9880,-87.6925,644,2128,195,35,,,,,,
