DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,3,0,2,39,21,01:35:15 20-May-2017,MA,Z,35.8783,-74.6212,39.1848,-58.3532,38,,401677595,-125
ex1,1,Mk10,DS,4,0,1,49,15,02:26:18 20-May-2017,MB,0,35.3773,-74.6999,33.4794,-83.8638,48,,401677565,-126
ex1,1,Mk10,DS,6,0,6,21,15,10:38:56 20-May-2017,SR,,,,,,,,401650000,-130
ex1,1,Mk10,DS,5,0,4,23,18,13:55:13 20-May-2017,MA,Z,35.0903,-74.9117,29.0346,-44.9490,30,,401677549,-127
ex1,1,Mk10,DS,7,0,5,66,15,20:32:39 20-May-2017,NP,0,30.6533,-96.2803,35.1906,-74.9263,50,,401677611,-129
ex1,1,Mk10,DS,7,0,4,20,15,22:22:09 20-May-2017,NN,0,35.4588,-74.9399,42.6567,-41.1917,68,,401677552,-130
ex1,1,Mk10,DS,2,0,0,33,33,23:55:54 20-May-2017,NN,B,35.0583,-75.0629,32.0647,-89.3886,8,,401677598,-128
ex1,1,Mk10,DS,5,0,3,25,17,00:28:48 21-May-2017,SR,0,35.2335,-74.8906,41.0539,-105.0742,58,,401677560,-126
ex1,1,Mk10,DS,3,0,1,37,19,02:00:31 21-May-2017,MB,A,34.9966,-77.3477,36.1175,-71.6625,8,,401677598,-131
ex1,1,Mk10,DS,7,0,4,45,18,02:47:54 21-May-2017,MA,1,30.7612,-96.9538,35.2140,-74.8796,50,,401677539,-122
ex1,1,Mk10,DS,5,0,2,25,20,08:57:43 21-May-2017,NP,1,35.2119,-74.9180,36.9845,-83.3027,68,,401677561,-122
ex1,1,Mk10,DS,5,0,2,21,16,09:58:05 21-May-2017,SR,Z,35.4208,-76.9924,39.1520,-57.3051,34,,401677710,-132
ex1,1,Mk10,DS,5,0,1,30,16,11:44:52 21-May-2017,SR,0,35.3396,-74.9153,28.8164,-106.0855,55,,401677592,-127
ex1,1,Mk10,DS,7,0,5,20,15,12:07:05 21-May-2017,NK,0,35.2313,-74.9058,38.3336,-89.9005,57,,401677614,-121
ex1,1,Mk10,DS,2,0,2,17,17,14:00:24 21-May-2017,NN,B,35.6524,-75.5154,45.6324,-122.4618,8,,401677561,-135
ex1,1,Mk10,DS,6,0,5,27,16,14:20:43 21-May-2017,MB,0,35.1993,-75.5998,31.8785,-59.5741,58,,401677701,-125
ex1,1,Mk10,DS,3,0,2,43,17,15:06:18 21-May-2017,MA,,,,,,,,401650000,-122
ex1,1,Mk10,DS,4,0,4,25,18,16:47:34 21-May-2017,MA,Z,35.6442,-74.4491,46.9275,-131.3547,38,,401677860,-129
ex1,1,Mk10,DS,4,0,2,32,22,21:44:21 21-May-2017,NK,0,35.0659,-74.8174,40.8428,-45.6193,50,,401677657,-127
ex1,1,Mk10,DS,3,0,3,114,80,22:08:33 21-May-2017,NN,A,35.2762,-74.7534,43.2410,-36.4688,60,,401677576,-133
ex1,1,Mk10,DS,9,0,5,42,15,02:25:21 22-May-2017,MA,0,35.1978,-74.6031,32.6369,-87.3164,48,,401677692,-129
ex1,1,Mk10,DS,6,0,3,34,15,07:05:19 22-May-2017,NP,0,35.1639,-74.8635,25.4239,-30.0199,68,,401677524,-131
ex1,1,Mk10,DS,4,0,1,33,24,08:52:16 22-May-2017,NP,Z,35.4040,-72.1834,36.6105,-79.3914,38,,401677475,-130
ex1,1,Mk10,DS,2,0,2,16,16,10:34:01 22-May-2017,NN,B,34.9717,-74.9715,23.9051,-22.9338,8,,401677493,-135
ex1,1,Mk10,DS,8,0,4,23,17,14:47:57 22-May-2017,MA,,,,,,,,401650000,-115
ex1,1,Mk10,DS,6,0,4,23,16,18:25:32 22-May-2017,NP,Z,34.8726,-75.4339,42.7398,-36.4504,38,,401677759,-133
ex1,1,Mk10,DS,4,0,2,19,18,20:16:04 22-May-2017,NP,Z,36.1105,-74.9503,34.4227,-85.2640,30,,401677565,-135
ex1,1,Mk10,DS,3,0,2,45,33,21:55:55 22-May-2017,NN,A,35.3802,-74.5243,44.5425,-30.6661,,,401677617,-135
ex1,1,Mk10,DS,9,1,4,,,23:01:36 22-May-2017,NK,0,33.9360,-81.3798,35.2937,-74.8934,50,,401677571,-120
ex1,1,Mk10,DS,9,0,2,21,15,23:35:35 22-May-2017,NN,0,35.2132,-75.0621,34.5739,-78.0393,56,,401677573,-123
ex1,1,Mk10,DS,2,0,1,152,152,01:06:32 23-May-2017,SR,B,35.2024,-75.2760,44.2829,-122.6518,8,,401677571,-134
ex1,1,Mk10,DS,5,0,4,51,18,08:38:20 23-May-2017,NP,Z,33.8445,-68.2672,38.6285,-91.3572,38,,401650000,-132
ex1,1,Mk10,DS,6,0,5,29,17,09:00:15 23-May-2017,SR,0,35.1905,-74.6914,43.9190,-29.3178,58,,401677610,-132
ex1,1,Mk10,DS,5,0,5,23,19,10:11:45 23-May-2017,NP,0,35.3291,-74.2627,45.2473,-121.2866,65,,401677745,-132
ex1,1,Mk10,DS,4,0,4,42,15,10:34:30 23-May-2017,SR,Z,37.3091,-70.2986,35.2503,-82.8355,36,,401677698,-135
